2017-08-13 09:30:13.512478 UTC,Logger Initialized
2017-08-13 09:31:39.416281 UTC,236,735d8da64f00c6
2017-08-13 09:31:39.416340 UTC,237,c81354cc30b5ec
2017-08-13 09:31:39.416402 UTC,238,fd0a105bac6992
2017-08-13 09:31:39.416443 UTC,239,842a1ab916d7d4
2017-08-13 09:31:39.416501 UTC,240,d31a11cdc0b115
2017-08-13 09:31:39.416566 UTC,241,c86eb398c066e4
2017-08-13 09:31:39.416655 UTC,242,baa28e5a33c9b0
2017-08-13 09:31:39.416703 UTC,243,ccb306c7cd1c32
2017-08-13 09:31:39.416765 UTC,244,64f71a59c3c89b
2017-08-13 09:31:39.416803 UTC,245,8591e25a0c30ee
2017-08-13 09:31:39.416847 UTC,246,0945f45d239c20ab98784362e975
2017-08-13 09:31:39.416883 UTC,247,09fb1ee199fced209ce6d50f41c7
2017-08-13 09:31:39.416923 UTC,248,fb1707b7219fb8
2017-08-13 09:31:39.416960 UTC,249,f2471593439b55
2017-08-13 09:31:39.417000 UTC,250,a24bc95053acb0847e6ba17a53d7
2017-08-13 09:31:39.417039 UTC,251,225b2f20451676dd90f738fe7b7b
2017-08-13 09:31:39.417082 UTC,252,bfd7933ead9a6a131df7c4146608
2017-08-13 09:31:39.417121 UTC,253,4701d31db68c1b
2017-08-13 09:31:39.417169 UTC,254,acd6b21250072b
2017-08-13 09:31:39.417216 UTC,255,385fc719f011f2
2017-08-13 09:31:39.417268 UTC,256,aab2cdfb9e730610bc13e78fb32c
2017-08-13 09:31:39.417312 UTC,257,f01911aca9a39b
2017-08-13 09:31:39.417349 UTC,258,07cee6c94fb082
2017-08-13 09:31:39.417389 UTC,259,84c719e892a1985d981b45fc9bb1
2017-08-13 09:31:39.417431 UTC,260,b6e21bbd9a6541
2017-08-13 09:31:39.463918 UTC,261,84de74e2545d14
2017-08-13 09:31:39.464009 UTC,262,735d8da64f00c6
2017-08-13 09:31:39.464078 UTC,263,c81354cc30b5ec
2017-08-13 09:31:39.464161 UTC,264,fd0a105bac6992
2017-08-13 09:31:39.464278 UTC,265,842a1ab916d7d4
2017-08-13 09:31:39.464324 UTC,266,d31a11cdc0b115
2017-08-13 09:31:39.464373 UTC,267,c86eb398c066e4
2017-08-13 09:31:39.464441 UTC,268,baa28e5a33c9b0
2017-08-13 09:31:39.464507 UTC,269,ccb306c7cd1c32
2017-08-13 09:31:39.464562 UTC,270,64f71a59c3c89b
2017-08-13 09:31:39.464608 UTC,271,8591e25a0c30ee
2017-08-13 09:31:39.464721 UTC,272,0945f45d239c20ab98784362e975
2017-08-13 09:31:39.464763 UTC,273,09fb1ee199fced209ce6d50f41c7
2017-08-13 09:31:39.464825 UTC,274,fb1707b7219fb8
2017-08-13 09:31:39.464866 UTC,275,f2471593439b55
2017-08-13 09:31:39.464912 UTC,276,a24bc95053acb0847e6ba17a53d7
2017-08-13 09:31:39.464993 UTC,277,225b2f20451676dd90f738fe7b7b
2017-08-13 09:31:39.465036 UTC,278,bfd7933ead9a6a131df7c4146608
2017-08-13 09:31:39.465083 UTC,279,4701d31db68c1b
2017-08-13 09:31:39.465123 UTC,280,acd6b21250072b
2017-08-13 09:31:39.465179 UTC,281,385fc719f011f2
2017-08-13 09:31:39.465219 UTC,282,aab2cdfb9e730610bc13e78fb32c
2017-08-13 09:31:39.465262 UTC,283,f01911aca9a39b
2017-08-13 09:31:39.465321 UTC,284,07cee6c94fb082
2017-08-13 09:31:39.465368 UTC,285,84c719e892a1985d981b45fc9bb1
2017-08-13 09:31:39.465411 UTC,286,b6e21bbd9a6541
2017-08-13 09:31:39.511659 UTC,287,84de74e2545d14
2017-08-13 09:31:39.511724 UTC,288,735d8da64f00c6
2017-08-13 09:31:39.511789 UTC,289,c81354cc30b5ec
2017-08-13 09:31:39.511859 UTC,290,fd0a105bac6992
2017-08-13 09:31:39.511912 UTC,291,842a1ab916d7d4
2017-08-13 09:31:39.512002 UTC,292,d31a11cdc0b115
2017-08-13 09:31:39.512046 UTC,293,c86eb398c066e4
2017-08-13 09:31:39.512090 UTC,294,baa28e5a33c9b0
2017-08-13 09:31:39.512184 UTC,295,ccb306c7cd1c32
2017-08-13 09:31:39.512256 UTC,296,64f71a59c3c89b
2017-08-13 09:31:39.512322 UTC,297,8591e25a0c30ee
2017-08-13 09:31:39.512377 UTC,298,0945f45d239c20ab98784362e975
2017-08-13 09:31:39.512472 UTC,299,09fb1ee199fced209ce6d50f41c7
2017-08-13 09:31:39.512547 UTC,300,fb1707b7219fb8
2017-08-13 09:31:39.512593 UTC,301,f2471593439b55
2017-08-13 09:31:39.512663 UTC,302,a24bc95053acb0847e6ba17a53d7
2017-08-13 09:31:39.512715 UTC,303,225b2f20451676dd90f738fe7b7b
2017-08-13 09:31:39.512759 UTC,304,bfd7933ead9a6a131df7c4146608
2017-08-13 09:31:39.512815 UTC,305,4701d31db68c1b
2017-08-13 09:31:39.512861 UTC,306,acd6b21250072b
2017-08-13 09:31:39.512958 UTC,307,385fc719f011f2
2017-08-13 09:31:39.513002 UTC,308,aab2cdfb9e730610bc13e78fb32c
2017-08-13 09:31:39.513057 UTC,309,f01911aca9a39b
2017-08-13 09:31:39.513152 UTC,310,07cee6c94fb082
2017-08-13 09:31:39.513195 UTC,311,84c719e892a1985d981b45fc9bb1
2017-08-13 09:31:39.513245 UTC,312,b6e21bbd9a6541
2017-08-13 09:31:41.144269 UTC,313,c0e85821005f81
2017-08-13 09:31:41.144367 UTC,314,a40a6edff5ea81402cf117dd38a8
2017-08-13 09:31:41.144451 UTC,315,c4a0db77dfd0e4
2017-08-13 09:31:41.144491 UTC,316,1977a171ea6722
2017-08-13 09:31:41.144542 UTC,317,2fe77dbf1d79c6
2017-08-13 09:31:41.144584 UTC,318,64b4c0c186633c
2017-08-13 09:31:41.144701 UTC,319,fbea510e8a0edf
2017-08-13 09:31:41.144817 UTC,320,d9641fc295764e
2017-08-13 09:31:41.144857 UTC,321,5537835b836dfc
2017-08-13 09:31:41.144897 UTC,322,ec8a924c63eac8
2017-08-13 09:31:41.144953 UTC,323,a18e9c447cd800
2017-08-13 09:31:41.145013 UTC,324,bbc0a9ec5e5f64
2017-08-13 09:31:41.145097 UTC,325,217bde9c1cdc24
2017-08-13 09:31:41.145162 UTC,326,a0f342568678d414c8ea29f8e3c5
2017-08-13 09:31:41.145219 UTC,327,f099f2f058a241
2017-08-13 09:31:41.145273 UTC,328,f368c74de5f14a
2017-08-13 09:31:41.145321 UTC,329,a8e45f8ae6d9dd
2017-08-13 09:31:41.145364 UTC,330,b63a05dc72cd91
2017-08-13 09:31:41.145428 UTC,331,1d1d10ee29f878e0201804364e7c
2017-08-13 09:31:41.145469 UTC,332,775dd85bd112c6
2017-08-13 09:31:41.145545 UTC,333,bd094a5d3084c7615b6a9153e8d6
2017-08-13 09:31:41.145593 UTC,334,ac11103cceb91d
2017-08-13 09:31:41.145631 UTC,335,e2fc43145be3f0
2017-08-13 09:31:41.145689 UTC,336,e3c76d484cc5d142e2cf1c5a6cab
2017-08-13 09:31:41.145750 UTC,337,fad1822b978445
2017-08-13 09:31:41.145802 UTC,338,ae53da6caf0e78593f2e375ebc7e
2017-08-13 09:31:41.145913 UTC,339,4f7f4888da25f0
2017-08-13 09:31:41.145956 UTC,340,4c6af6b68d7c40
2017-08-13 09:31:41.192241 UTC,341,c0e85821005f81
2017-08-13 09:31:41.192349 UTC,342,a40a6edff5ea81402cf117dd38a8
2017-08-13 09:31:41.192414 UTC,343,c4a0db77dfd0e4
2017-08-13 09:31:41.192462 UTC,344,1977a171ea6722
2017-08-13 09:31:41.192538 UTC,345,2fe77dbf1d79c6
2017-08-13 09:31:41.192584 UTC,346,64b4c0c186633c
2017-08-13 09:31:41.192625 UTC,347,fbea510e8a0edf
2017-08-13 09:31:41.192692 UTC,348,d9641fc295764e
2017-08-13 09:31:41.192728 UTC,349,5537835b836dfc
2017-08-13 09:31:41.192784 UTC,350,ec8a924c63eac8
2017-08-13 09:31:41.192821 UTC,351,a18e9c447cd800
2017-08-13 09:31:41.192853 UTC,352,bbc0a9ec5e5f64
2017-08-13 09:31:41.192919 UTC,353,217bde9c1cdc24
2017-08-13 09:31:41.192974 UTC,354,a0f342568678d414c8ea29f8e3c5
2017-08-13 09:31:41.193044 UTC,355,f099f2f058a241
2017-08-13 09:31:41.193130 UTC,356,f368c74de5f14a
2017-08-13 09:31:41.193212 UTC,357,a8e45f8ae6d9dd
2017-08-13 09:31:41.193249 UTC,358,b63a05dc72cd91
2017-08-13 09:31:41.193287 UTC,359,1d1d10ee29f878e0201804364e7c
2017-08-13 09:31:41.193325 UTC,360,775dd85bd112c6
2017-08-13 09:31:41.193380 UTC,361,bd094a5d3084c7615b6a9153e8d6
2017-08-13 09:31:41.193440 UTC,362,ac11103cceb91d
2017-08-13 09:31:41.193484 UTC,363,e2fc43145be3f0
2017-08-13 09:31:41.193521 UTC,364,e3c76d484cc5d142e2cf1c5a6cab
2017-08-13 09:31:41.193561 UTC,365,fad1822b978445
2017-08-13 09:31:41.193605 UTC,366,ae53da6caf0e78593f2e375ebc7e
2017-08-13 09:31:41.193657 UTC,367,4f7f4888da25f0
2017-08-13 09:31:41.193705 UTC,368,4c6af6b68d7c40
2017-08-13 09:31:41.239746 UTC,369,c0e85821005f81
2017-08-13 09:31:41.239825 UTC,370,a40a6edff5ea81402cf117dd38a8
2017-08-13 09:31:41.239904 UTC,371,c4a0db77dfd0e4
2017-08-13 09:31:41.239973 UTC,372,1977a171ea6722
2017-08-13 09:31:41.240035 UTC,373,2fe77dbf1d79c6
2017-08-13 09:31:41.240071 UTC,374,64b4c0c186633c
2017-08-13 09:31:41.240116 UTC,375,fbea510e8a0edf
2017-08-13 09:31:41.240170 UTC,376,d9641fc295764e
2017-08-13 09:31:41.240230 UTC,377,5537835b836dfc
2017-08-13 09:31:41.240294 UTC,378,ec8a924c63eac8
2017-08-13 09:31:41.240336 UTC,379,a18e9c447cd800
2017-08-13 09:31:41.240383 UTC,380,bbc0a9ec5e5f64
2017-08-13 09:31:41.240430 UTC,381,217bde9c1cdc24
2017-08-13 09:31:41.240471 UTC,382,a0f342568678d414c8ea29f8e3c5
2017-08-13 09:31:41.240617 UTC,383,f099f2f058a241
2017-08-13 09:31:41.240660 UTC,384,f368c74de5f14a
2017-08-13 09:31:41.240721 UTC,385,a8e45f8ae6d9dd
2017-08-13 09:31:41.240769 UTC,386,b63a05dc72cd91
2017-08-13 09:31:41.240818 UTC,387,1d1d10ee29f878e0201804364e7c
2017-08-13 09:31:41.240854 UTC,388,775dd85bd112c6
2017-08-13 09:31:41.240895 UTC,389,bd094a5d3084c7615b6a9153e8d6
2017-08-13 09:31:41.240952 UTC,390,ac11103cceb91d
2017-08-13 09:31:41.240993 UTC,391,e2fc43145be3f0
2017-08-13 09:31:41.241082 UTC,392,e3c76d484cc5d142e2cf1c5a6cab
2017-08-13 09:31:41.241122 UTC,393,fad1822b978445
2017-08-13 09:31:41.241178 UTC,394,ae53da6caf0e78593f2e375ebc7e
2017-08-13 09:31:41.241217 UTC,395,4f7f4888da25f0
2017-08-13 09:31:41.241260 UTC,396,4c6af6b68d7c40
2017-08-13 09:31:41.287795 UTC,397,c0e85821005f81
2017-08-13 09:31:41.287864 UTC,398,a40a6edff5ea81402cf117dd38a8
2017-08-13 09:31:41.287946 UTC,399,c4a0db77dfd0e4
